"province","drain_basin","river_section","time","quality_type","temperature","pH","oxygen","conductivity","turbidity_ntu","permanganate_index","ammonia_nitrogen","total_phosphate","total_nitrogen","chl_a","algae_density","site_state"
"北京市","海河流域","鼓楼外大街","2020-05-08 15:00:00",,20.3,8,8.68,393.4,3.6,4.23,,0.033,"0.62",,,"维护"
"北京市","海河流域","广北滨河路(桥）","2020-05-08 15:00:00","Ⅳ",20.7,7.57,7,899.9,3.6,6.21,0.084,0.024,"10.98",,,"正常"
"北京市","海河流域","沙窝","2020-05-08 15:00:00","Ⅳ",20.8,7.49,7.03,1141.1,16.6,9.15,0.161,0.144,"6.12",,,"正常"
"北京市","海河流域","新八里桥","2020-05-08 15:00:00","Ⅳ",19.9,7.78,6.86,978.1,3,9.45,0.137,0.054,"12.74",,,"正常"
"北京市","海河流域","大红门闸上","2020-05-08 15:00:00","Ⅲ",20.1,7.61,5.32,1165.8,5.2,5.32,0.151,0.101,"13.66",,,"正常"
"北京市","海河流域","南大荒桥","2020-05-08 15:00:00","Ⅲ",16.9,8.41,9.85,1363.4,18.5,5.12,0.032,0.042,"1.61",,,"正常"
"北京市","海河流域","清河闸","2020-05-08 15:00:00","Ⅲ",19.3,7.54,6.76,878.8,5.2,4.08,0.604,0.056,"7.66",,,"正常"
"北京市","海河流域","花园路","2020-05-08 15:00:00","Ⅱ",18.4,7.37,9.34,981.7,5.6,1.9,0.207,0.058,"10.75",,,"正常"
"北京市","海河流域","白石桥","2020-05-08 15:00:00","Ⅲ",20,7.77,8.37,420.9,6.9,4.39,0.08,0.03,"1.07",,,"正常"
"北京市","海河流域","沿河城","2020-05-08 12:05:00",,24.1,8.21,4.79,1642.6,10.1,8.37,,0,"0",,,"维护"
"北京市","海河流域","大沙地","2020-05-08 15:00:00",,17.5,8.22,7.81,434.3,2.5,1.3,,0.006,"1.81",,,"维护"
"北京市","海河流域","码头","2020-04-21 11:16:00",,2.1,7.87,15.08,2540.4,3.4,7.92,0.441,0.093,"5.42",,,"停站"
"北京市","海河流域","怀柔水库","2020-05-08 15:00:00",,18,8.16,9.65,421.5,1.8,1.05,,0.013,"1.11",,,"维护"
"北京市","海河流域","东店","2020-05-08 15:00:00","劣Ⅴ",19.4,7.19,0.02,656.4,20,16.66,0.07,0.176,"3.23",,,"正常"
"北京市","海河流域","古北口","2020-05-08 12:05:00","Ⅱ",17.8,7.3,8.13,661.9,7.9,1.17,0.25,0.001,"5.94",,,"正常"
"北京市","海河流域","密云水库","2020-05-08 15:00:00","Ⅱ",16.8,8.41,11.13,420.9,3.7,2.52,0.044,0.004,"1.00",,,"维护"
"北京市","海河流域","大关桥","2020-05-08 15:00:00","Ⅱ",19.3,8,7.56,430.3,15.6,1.8,0.098,0.021,"2.65",,,"正常"
"北京市","海河流域","辛庄桥","2020-05-08 15:00:00",,17.2,7.84,7.63,549.9,4.3,1.09,0.02,,"5.25",,,"维护"
"北京市","海河流域","谷家营","2020-05-08 15:00:00","劣Ⅴ",19.5,9.12,14.63,522.4,7.6,5,0.021,0.032,"0.63",,,"正常"
"北京市","海河流域","后城","2020-05-08 15:00:00","Ⅱ",13.4,7.95,8.97,399.9,10.2,1.7,0.016,0.087,"5.11",,,"正常"
"天津市","海河流域","三岔口","2020-05-08 12:00:00","Ⅲ",18.8,7.69,7.21,568.3,19.2,1.44,0.24,0.148,"1.52",,,"正常"
"天津市","海河流域","北洋桥","2020-05-08 15:00:00","Ⅱ",19.2,7.83,6.52,501.1,9.2,3.96,0.108,0.053,"1.36",,,"正常"
"天津市","海河流域","井冈山桥","2020-05-08 15:00:00","Ⅱ",19,7.81,6.1,592.4,12.6,2.7,0.151,0.071,"1.70",,,"正常"
"天津市","海河流域","大红桥","2020-05-08 15:00:00","Ⅲ",19,7.85,5.78,574.7,7.2,2.93,0.19,0.04,"1.21",,,"正常"
"天津市","海河流域","曹庄子泵站","2020-05-08 15:00:00","Ⅰ",21,7.79,7.92,273.6,1.8,1.71,0.083,0.001,"1.27",,,"正常"
"天津市","海河流域","生产圈闸","2020-05-08 15:00:00","Ⅲ",17.9,8,6.48,652.6,10.3,4.27,0.006,0.057,"1.29",,,"正常"
"天津市","海河流域","土门楼","2020-04-21 23:00:00",,16.9,8.71,13.22,745,13.8,6.65,0.034,0.185,"7.89",,,"停站"
"天津市","海河流域","尔王庄水库","2020-05-08 15:00:00",,18.6,8.28,8.25,359.1,13.3,3.1,0.013,,"0.55",0.003,,"维护"
"天津市","海河流域","大套桥","2020-05-08 15:00:00","Ⅴ",19.1,8.48,6.76,812.2,32.6,11.2,0.083,0.28,"5.97",,,"正常"
"天津市","海河流域","黄白桥","2020-05-08 15:00:00","Ⅳ",17.6,8.29,9.34,1040.7,8.2,6.83,0.2,0.071,"4.25",,,"正常"
"天津市","海河流域","塘汉公路桥","2020-05-08 15:00:00","Ⅲ",16.1,8.48,6.93,1766.2,27.2,5.78,0.097,0.092,"5.36",,,"正常"
"天津市","海河流域","海河大闸","2020-05-08 15:00:00","Ⅳ",17.1,8.54,5.6,20998,22.7,8.72,0.478,0.108,"2.30",,,"正常"
"天津市","海河流域","北排水河防潮闸","2020-05-08 15:00:00","Ⅴ",15.8,8.18,8.46,12950.6,116.3,13.12,0.158,0.15,"1.23",,,"正常"
"天津市","海河流域","翟庄子","2020-05-08 15:00:00","Ⅴ",18.4,8.44,4.48,4477.3,73.1,13.15,0.06,0.081,"1.60",,,"正常"
"天津市","海河流域","沧浪渠出境","2020-04-24 09:00:00",,3.7,8.69,11.88,16585.4,86.9,19.78,0.279,0.158,"1.88",,,"停站"
"天津市","海河流域","万家码头","2020-04-24 12:01:00",,6.5,8.98,14.65,6786.9,18.9,16.31,0.034,0.163,"1.93",,,"停站"
"天津市","海河流域","蓟运河防潮闸","2020-05-08 15:00:00","Ⅳ",17.9,8.22,8.09,2936.4,34.5,7.63,0.199,0.053,"2.82",,,"正常"
"天津市","海河流域","青静黄防潮闸","2020-05-08 15:00:00","Ⅲ",17.2,7.79,8.13,35958.7,22.5,5.32,0.003,0.028,"1.04",,,"正常"
"天津市","海河流域","马棚口防潮闸","2020-05-08 14:00:00",,0,,,,,0,,0,"0",,,"维护"
